strength,opponent_formation,opponent_style_of_play,opponent_marking,opponent_offside_trap,opponent_tackling,opponent_training_camp,formation,style_of_play,marking,offside_trap,tackling,training_camp,line_tactic_FW,line_tactic_MF,line_tactic_DF,pressing,style,tempo,goals,opponent_goals,goal_diff,posession,opponent_posession,shots,opponent_shots,result
weak,4-3-3 b,shoot on sight,zonal marking,no,aggresive,no,4-2-3-1,shoot on sight,man marking,yes,aggresive,no,attack only,protect the defence,defend deep,55,46,39,3,0,3,63,37,11,3,won
strong,4-2-3-1,passing game,zonal marking,no,normal,no,4-2-3-1,shoot on sight,man marking,yes,aggresive,no,attack only,protect the defence,defend deep,55,46,39,1,0,1,61,39,8,4,won
weak,4-4-2 b,shoot on sight,man marking,no,aggresive,no,4-2-3-1,shoot on sight,man marking,yes,aggresive,no,attack only,protect the defence,defend deep,55,46,39,1,0,1,68,32,10,3,won
equal,4-2-3-1,passing game,zonal marking,no,normal,no,6-3-1 b,counter-attack,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,50,24,65,2,0,2,58,42,6,4,won
weak,4-2-3-1,passing game,zonal marking,no,normal,no,6-3-1 b,counter-attack,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,51,25,66,1,0,1,62,38,8,3,won
strong,4-4-2 b,wing play,man marking,no,normal,no,4-3-3 b,wing play,zonal marking,no,normal,no,attack only,stay in position,defend deep,69,67,73,3,0,3,63,37,18,5,won
strong,3-3-4 a,long ball,zonal marking,yes,normal,no,4-3-3 b,wing play,zonal marking,no,normal,no,attack only,stay in position,defend deep,71,71,71,4,0,4,64,36,22,1,won
equal,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,normal,no,attack only,stay in position,attacking full-backs,75,75,75,1,0,1,61,39,10,4,won
strong,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,careful,no,attack only,stay in position,attacking full-backs,75,75,75,1,0,1,52,48,8,8,won
strong,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,careful,no,attack only,stay in position,attacking full-backs,75,75,75,2,0,2,62,38,11,4,won
weak,3-4-3 a,shoot on sight,zonal marking,yes,normal,no,3-5-2,shoot on sight,man marking,yes,normal,no,attack only,stay in position,defend deep,58,36,54,3,0,3,66,34,11,4,won
strong,3-3-4 a,long ball,zonal marking,yes,normal,no,3-3-4 a,wing play,zonal marking,no,normal,no,attack only,stay in position,defend deep,75,75,75,3,0,3,65,35,14,9,won
strong,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,careful,no,attack only,stay in position,attacking full-backs,82,78,77,3,0,3,63,37,12,3,won
weak,4-3-3 a,passing game,zonal marking,no,aggresive,no,4-5-1,shoot on sight,zonal marking,no,aggresive,no,attack only,protect the defence,defend deep,40,20,25,1,0,1,50,50,8,8,won
strong,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,careful,no,attack only,stay in position,attacking full-backs,85,79,79,2,0,2,59,41,10,7,won
weak,4-3-3 b,shoot on sight,zonal marking,yes,normal,no,4-5-1,shoot on sight,zonal marking,no,normal,no,attack only,protect the defence,defend deep,40,10,60,0,1,1,53,47,7,6,lost
strong,3-3-2-2,shoot on sight,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,careful,no,attack only,stay in position,attacking full-backs,85,79,79,4,0,4,60,40,9,6,won
strong,4-3-3 b,shoot on sight,zonal marking,no,aggresive,no,4-3-3 a,wing play,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,65,77,66,3,1,2,63,37,14,7,won
strong,3-3-2-2,long ball,zonal marking,yes,normal,no,4-4-2 b,passing game,zonal marking,no,careful,no,attack only,stay in position,attacking full-backs,85,79,79,4,0,4,61,39,10,5,won
