Home,Away,Stronger Team,Your Team,Home Formation,Away Formation,Home Style of play,Home Marking,Home Offside trap,Home Tackling,Away Style of play,Away Marking,Away Offside trap,Away Tackling,Home Training Camp,Away Training Camp,Line Tactic-FW,Line Tactic-MF,Line Tactic-DF,Pressing,Style,Tempo,Home Posession,Away Possesion,Home Goals,Away Goals,Home Shots,Away Shots,TIP,Result,Your Result
Osasuna,Celta Vigo,Away,Home,4-2-3-1,4-3-3 B,Shoot on sight,Man marking,Yes,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Protect the defence,Defend deep,55,46,39,63,37,3,0,11,3,,Home Wins,You Won
Osasuna,Mallorca,Home,Home,4-2-3-1,4-2-3-1,Shoot on sight,Man marking,Yes,Aggresive,Passing game,Zonal marking,No,Normal,No,No,Attack only,Protect the defence,Defend deep,55,46,39,61,39,1,0,8,4,,Home Wins,You Won
Getafe,Osasuna,Home,Away,4-4-2 B,4-2-3-1,Shoot on sight,Man marking,No,Aggresive,Shoot on sight,Man marking,Yes,Aggresive,No,No,Attack only,Protect the defence,Defend deep,55,46,39,32,68,0,1,3,10,"Not sure I agree with the Man marking here, there were too many defenders around to execute it.",Away Wins,You won
PSIS,Persita,Equal,Home,6-3-1 B,4-2-3-1,Counter-attack,Zonal marking,No,Aggresive,Passing game,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,50,24,65,58,42,2,0,6,4,,Home Wins,You Won
PSM,PSIS,Home,Away,4-2-3-1,6-3-1 B,Passing game,Zonal marking,No,Normal,Counter-attack,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,51,25,66,38,62,0,1,3,8,There's a lot more to gain from those Free kicks. I don't think Marukawa is up to it.,Away Wins,You won
PSIS,Tira-Persikabo,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Normal,Wing play,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,69,67,73,63,37,3,0,18,5,"Zonal marking against these forwards? I think it was the right call!
Marukawa isn't the indisputed leader of this Squad, I don't think he can handle being the Captain.",Home Wins,You Won
Osasuna,Mallorca,Home,Home,4-3-3 B,3-3-4 A,Wing play,Zonal marking,No,Normal,Long ball,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,71,71,71,64,36,4,0,22,1,"Loving the Tactics, loving the win. My work is done here.",Home Wins,You Won
PSIS,PSS,Equal,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,75,75,75,61,39,1,0,10,4,,Home Wins,You Won
Cadiz,Osasuna,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Attacking full-backs,75,75,75,48,52,0,1,8,8,,Away Wins,You won
Osasuna,Girona,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Careful,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,75,75,75,62,38,2,0,11,4,"Loving the Tactics, loving the win. My work is done here.",Home Wins,You Won
Persija,PSIS,Home,Away,3-4-3 A,3-5-2,Shoot on sight,Zonal marking,Yes,Normal,Shoot on sight,Man marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,58,36,54,34,66,0,3,4,11,,Away Wins,You won
Espanyol,Osasuna,Away,Away,3-3-4 A,3-3-4 A,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,75,75,75,35,65,0,3,9,14,,Away Wins,You won
PSIS,Bhayangkara,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Careful,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,82,78,77,63,37,3,0,12,3,"Loving the Tactics, loving the win. My work is done here.",Home Wins,You Won
Osasuna,Real Madrid,Away,Home,4-5-1,4-3-3 A,Shoot on sight,Zonal marking,No,Aggresive,Passing game,Zonal marking,No,Aggresive,No,No,Attack only,Protect the defence,Defend deep,40,20,25,50,50,1,0,8,8,,Home Wins,You Won
